depnmse,indepnmse,sampcovnmse,nobs,run,arval
0.06657037696845293,0.05995594764441541,0.11415970681052087,100.0,1.0,0.0
0.09876741143534068,0.10008600104141949,0.13357658622366844,100.0,2.0,0.0
0.09664342297501974,0.07603281362959542,0.12712384573651883,100.0,3.0,0.0
0.0625437260144413,0.052202151640927695,0.13747313762735752,100.0,4.0,0.0
0.07037978625400063,0.057498399953141745,0.10802615293895416,100.0,5.0,0.0
0.0844090824763492,0.06316572881058229,0.10906422491830782,100.0,6.0,0.0
0.04149913434597882,0.027640229676786452,0.06955545920147745,100.0,7.0,0.0
0.07818650058583872,0.07917249180347712,0.12951410429520063,100.0,8.0,0.0
0.11495244848127834,0.09603641086758442,0.13194192864902485,100.0,9.0,0.0
0.057512787017874434,0.05819120106653455,0.1313294850285226,100.0,10.0,0.0
0.04734304770121969,0.05058511048611931,0.09548855640519427,100.0,11.0,0.0
0.04747831623622764,0.0450946245584695,0.08862623827010573,100.0,12.0,0.0
0.060622377627412856,0.07024412593947676,0.10992311690611341,100.0,13.0,0.0
0.05012671796488214,0.04023957123109569,0.08213525257238391,100.0,14.0,0.0
0.0911274020535338,0.07026295415526373,0.11777719759877167,100.0,15.0,0.0
0.06725579139898683,0.05827420923328416,0.13834633748133013,100.0,16.0,0.0
0.05329804176176541,0.05569359188984264,0.10399996409701791,100.0,17.0,0.0
0.065289020332169,0.09725809150854464,0.14572779064733735,100.0,18.0,0.0
0.0452617006691493,0.03785383663949542,0.08134702750772639,100.0,19.0,0.0
0.05969829860307183,0.0579473102384018,0.10193570154426775,100.0,20.0,0.0
0.0512566277177462,0.04230022446397589,0.09739198943137567,100.0,21.0,0.0
0.07195161461984917,0.10098286183268644,0.1165047813613594,100.0,22.0,0.0
0.0647729694999078,0.05778869265938482,0.1050340924991803,100.0,23.0,0.0
0.06708760185234638,0.08709197928133391,0.1321581180194671,100.0,24.0,0.0
0.12159217945153823,0.1015158808377808,0.14924259748884924,100.0,25.0,0.0
0.0661181316886842,0.06364966868094357,0.11343387121794223,100.0,26.0,0.0
0.03990138023342458,0.03205667135257713,0.09319118711744408,100.0,27.0,0.0
0.05556020095531966,0.05237874766567749,0.12574418944593407,100.0,28.0,0.0
0.08004932085942458,0.050307223662436736,0.0888240343243683,100.0,29.0,0.0
